iter	Passed	Remaining
0	5	7563
1	10	8003
2	15	7833
3	21	7997
4	27	8268
5	32	8179
6	38	8270
7	44	8353
8	50	8353
9	58	8698
10	64	8755
11	70	8744
12	76	8786
13	82	8739
14	89	8871
15	95	8820
16	99	8722
17	107	8884
18	114	8919
19	122	9055
20	131	9256
21	140	9421
22	152	9767
23	160	9864
24	168	9959
25	175	9936
26	182	9973
27	190	10035
28	196	9984
29	202	9933
30	210	9981
31	216	9944
32	224	9988
33	231	9970
34	238	9975
35	244	9933
36	249	9858
37	258	9930
38	264	9900
39	271	9910
40	277	9885
41	284	9872
42	291	9868
43	296	9823
44	304	9834
45	311	9843
46	322	9955
47	334	10114
48	342	10144
49	351	10182
50	356	10121
51	361	10069
52	368	10063
53	374	10021
54	379	9973
55	389	10037
56	395	10021
57	403	10034
58	410	10014
59	417	10020
60	422	9978
61	429	9952
62	435	9944
63	440	9893
64	448	9912
65	455	9899
66	463	9903
67	470	9901
68	475	9860
69	483	9876
70	487	9821
71	494	9798
72	501	9807
73	507	9780
74	515	9788
75	525	9844
76	535	9902
77	541	9866
78	548	9868
79	554	9845
80	563	9877
81	569	9842
82	574	9814
83	588	9912
84	593	9888
85	602	9912
86	613	9963
87	618	9922
88	624	9896
89	630	9874
90	636	9850
91	641	9813
92	647	9790
93	654	9786
94	662	9790
95	668	9779
96	676	9781
97	682	9763
98	686	9719
99	694	9718
100	701	9722
101	708	9712
102	714	9685
103	718	9647
104	727	9666
105	735	9671
106	744	9692
107	750	9677
108	758	9678
109	763	9651
110	768	9617
111	775	9613
112	785	9644
113	797	9701
114	806	9716
115	811	9687
116	819	9691
117	829	9712
118	834	9689
119	841	9680
120	848	9669
121	854	9652
122	859	9617
123	864	9592
124	871	9585
125	878	9580
126	883	9551
127	891	9557
128	900	9570
129	909	9581
130	916	9582
131	928	9626
132	939	9658
133	946	9647
134	954	9646
135	959	9618
136	965	9609
137	973	9604
138	977	9572
139	983	9554
140	989	9539
141	995	9523
142	1001	9507
143	1007	9489
144	1014	9478
145	1020	9462
146	1025	9443
147	1033	9443
148	1039	9424
149	1046	9416
150	1051	9394
151	1057	9377
152	1064	9371
153	1070	9357
154	1075	9331
155	1084	9342
156	1089	9323
157	1099	9341
158	1110	9363
159	1121	9390
160	1129	9396
161	1136	9390
162	1145	9394
163	1150	9370
164	1155	9352
165	1165	9366
166	1171	9352
167	1181	9367
168	1187	9351
169	1193	9340
170	1199	9323
171	1205	9309
172	1213	9305
173	1219	9293
174	1225	9280
175	1231	9263
176	1236	9239
177	1241	9223
178	1247	9208
179	1253	9194
180	1260	9187
181	1266	9169
182	1272	9156
183	1279	9152
184	1286	9144
185	1294	9146
186	1301	9137
187	1307	9127
188	1314	9114
189	1319	9099
190	1325	9084
191	1333	9082
192	1342	9090
193	1349	9086
194	1359	9096
195	1366	9091
196	1373	9085
197	1379	9073
198	1387	9071
199	1393	9060
200	1399	9042
201	1406	9034
202	1410	9013
203	1416	8997
204	1423	8989
205	1429	8978
206	1434	8960
207	1444	8971
208	1450	8960
209	1459	8968
210	1466	8959
211	1478	8982
212	1486	8981
213	1492	8970
214	1498	8955
215	1509	8971
216	1514	8954
217	1521	8949
218	1528	8940
219	1540	8961
220	1548	8959
221	1554	8950
222	1562	8945
223	1571	8953
224	1576	8934
225	1583	8925
226	1589	8912
227	1595	8902
228	1601	8887
229	1606	8870
230	1613	8865
231	1619	8853
232	1624	8832
233	1630	8821
234	1636	8809
235	1641	8792
236	1650	8795
237	1656	8785
238	1664	8781
239	1669	8766
240	1674	8747
241	1679	8731
242	1685	8721
243	1691	8706
244	1698	8699
245	1704	8690
246	1712	8685
247	1718	8674
248	1722	8654
249	1731	8657
250	1737	8646
251	1745	8644
252	1751	8634
253	1757	8623
254	1765	8621
255	1774	8622
256	1780	8611
257	1785	8597
258	1793	8595
259	1800	8586
260	1806	8575
261	1812	8566
262	1818	8554
263	1826	8550
264	1831	8534
265	1836	8520
266	1847	8530
267	1854	8523
268	1860	8513
269	1864	8493
270	1870	8481
271	1879	8485
272	1885	8475
273	1891	8465
274	1897	8450
275	1901	8434
276	1909	8431
277	1915	8421
278	1923	8416
279	1929	8407
280	1938	8409
281	1944	8398
282	1951	8392
283	1961	8396
284	1965	8380
285	1972	8371
286	1977	8357
287	1982	8342
288	1990	8340
289	1994	8323
290	2001	8316
291	2008	8307
292	2014	8297
293	2021	8290
294	2026	8278
295	2032	8268
296	2039	8261
297	2046	8253
298	2053	8248
299	2060	8240
300	2066	8233
301	2073	8225
302	2078	8210
303	2083	8198
304	2089	8186
305	2094	8174
306	2099	8158
307	2104	8145
308	2109	8132
309	2114	8118
310	2122	8116
311	2133	8124
312	2141	8121
313	2148	8115
314	2153	8102
315	2159	8092
316	2166	8086
317	2172	8076
318	2177	8061
319	2184	8054
320	2190	8045
321	2195	8031
322	2203	8028
323	2209	8020
324	2216	8012
325	2221	7998
326	2227	7988
327	2235	7987
328	2241	7976
329	2248	7973
330	2255	7964
331	2261	7955
332	2267	7944
333	2273	7935
334	2280	7931
335	2287	7925
336	2294	7918
337	2301	7911
338	2307	7904
339	2315	7898
340	2323	7897
341	2332	7898
342	2342	7902
343	2352	7905
344	2357	7892
345	2365	7888
346	2371	7880
347	2377	7868
348	2383	7861
349	2389	7850
350	2396	7843
351	2401	7831
352	2406	7819
353	2414	7815
354	2418	7801
355	2426	7797
356	2432	7788
357	2439	7781
358	2448	7782
359	2455	7777
360	2462	7769
361	2468	7760
362	2475	7753
363	2481	7744
364	2487	7735
365	2494	7729
366	2500	7720
367	2510	7723
368	2516	7712
369	2524	7709
370	2531	7703
371	2539	7698
372	2546	7695
373	2552	7683
374	2558	7675
375	2565	7669
376	2570	7656
377	2576	7648
378	2583	7640
379	2590	7636
380	2597	7628
381	2604	7621
382	2610	7612
383	2614	7599
384	2622	7593
385	2628	7584
386	2634	7576
387	2644	7579
388	2650	7569
389	2657	7562
390	2663	7554
391	2669	7546
392	2675	7536
393	2680	7525
394	2688	7521
395	2694	7512
396	2702	7507
397	2707	7497
398	2713	7487
399	2722	7487
400	2732	7487
401	2738	7478
402	2743	7469
403	2750	7461
404	2757	7455
405	2764	7448
406	2772	7444
407	2776	7431
408	2784	7426
409	2789	7416
410	2794	7405
411	2800	7394
412	2804	7381
413	2809	7370
414	2814	7358
415	2819	7347
416	2824	7336
417	2830	7327
418	2838	7324
419	2850	7330
420	2856	7320
421	2861	7310
422	2867	7301
423	2873	7292
424	2880	7285
425	2886	7277
426	2892	7267
427	2897	7257
428	2902	7245
429	2907	7235
430	2914	7228
431	2922	7224
432	2931	7224
433	2941	7225
434	2948	7219
435	2955	7211
436	2960	7201
437	2967	7194
438	2972	7184
439	2979	7178
440	2985	7170
441	2991	7160
442	2999	7156
443	3003	7144
444	3009	7134
445	3015	7125
446	3019	7113
447	3027	7109
448	3034	7104
449	3042	7099
450	3048	7090
451	3053	7079
452	3058	7068
453	3064	7060
454	3071	7055
455	3078	7048
456	3085	7041
457	3093	7037
458	3098	7026
459	3105	7021
460	3115	7021
461	3123	7017
462	3133	7018
463	3141	7013
464	3147	7005
465	3153	6998
466	3162	6996
467	3168	6987
468	3174	6979
469	3180	6969
470	3185	6958
471	3192	6953
472	3198	6944
473	3206	6939
474	3214	6936
475	3223	6935
476	3234	6936
477	3243	6935
478	3250	6927
479	3261	6931
480	3269	6926
481	3275	6918
482	3282	6912
483	3290	6907
484	3297	6901
485	3305	6897
486	3317	6899
487	3326	6899
488	3334	6894
489	3341	6887
490	3347	6878
491	3355	6874
