iter	Logloss
0	0.6855800061
1	0.6812950924
2	0.6741166807
3	0.668508516
4	0.6618219447
5	0.6555365272
6	0.6500435428
7	0.6438835303
8	0.6373106916
9	0.6327798626
10	0.6275569737
11	0.6230065616
12	0.619040064
13	0.6135449121
14	0.6099238133
15	0.6075391713
16	0.6054103431
17	0.6015897196
18	0.597537307
19	0.5943495727
20	0.5909444258
21	0.5890673313
22	0.5873519913
23	0.5852446767
24	0.5823625418
25	0.580402881
26	0.5778494615
27	0.5762026484
28	0.5745779697
29	0.5718619465
30	0.5697685812
31	0.5674594302
32	0.5655101889
33	0.5639822796
34	0.5622039699
35	0.5602956013
36	0.5586555293
37	0.5570829706
38	0.5553494035
39	0.5537226062
40	0.5523662616
41	0.5511853495
42	0.5501499006
43	0.5482538844
44	0.5473972543
45	0.5462674898
46	0.5452270467
47	0.5443574301
48	0.5430025981
49	0.5413894813
50	0.5399584504
51	0.5386051475
52	0.5384822646
53	0.5374907304
54	0.5367994687
55	0.5356216869
56	0.534758856
57	0.5344051631
58	0.5334441956
59	0.5327274951
60	0.5318412184
61	0.5310082764
62	0.5301311004
63	0.5288886437
64	0.5282566969
65	0.5275457973
66	0.5271055453
67	0.5262631775
68	0.525546981
69	0.5246970503
70	0.5241979388
71	0.5235252688
72	0.5228675451
73	0.5222430888
74	0.5219135709
75	0.5214070481
76	0.5201453042
77	0.5194308425
78	0.5192189093
79	0.5187790446
80	0.5181864081
81	0.5177489829
82	0.517227816
83	0.5163889669
84	0.5155759602
85	0.5151402188
86	0.5144819545
87	0.5137468444
88	0.5132653682
89	0.5129012644
90	0.512699129
91	0.5120761353
92	0.5117895102
93	0.511411176
94	0.5107516794
95	0.5102741634
96	0.5098178943
97	0.5093328193
98	0.5089248912
99	0.5081075648
100	0.5077402427
101	0.5074006562
102	0.5069491114
103	0.5065008582
104	0.5060973989
105	0.5056429926
106	0.5053990057
107	0.5051721709
108	0.5049977176
109	0.5048515544
110	0.5044428489
111	0.5043592926
112	0.5038850838
113	0.5033916723
114	0.5031985963
115	0.5028585908
116	0.5024565903
117	0.5018816406
118	0.5017253157
119	0.5013534304
120	0.5011523373
121	0.5006137335
122	0.5004063865
123	0.4998772132
124	0.4994669001
125	0.4991925429
126	0.4989329038
127	0.4983930892
128	0.4980198033
129	0.4976188437
130	0.4974623768
131	0.4971828501
132	0.4969338804
133	0.4967134723
134	0.4966066562
135	0.4963718029
136	0.496004727
137	0.4959177833
138	0.4956949682
139	0.4954317094
140	0.4950613808
141	0.4947680879
142	0.4946103094
143	0.4944926199
144	0.4940787362
145	0.4937741009
146	0.4934264917
147	0.4933336075
148	0.4930330257
149	0.4928514744
150	0.492534819
151	0.4924425847
152	0.4920309085
153	0.4916470151
154	0.491345931
155	0.4910390666
156	0.4909036256
157	0.4905723316
158	0.4902508645
159	0.4900218079
160	0.4897401696
161	0.4896201658
162	0.489473133
163	0.4892515467
164	0.4891838289
165	0.4889740286
166	0.4886815942
167	0.4884955954
168	0.4883943389
169	0.4882011242
170	0.4881300681
171	0.4878763673
172	0.4877473472
173	0.4876719694
174	0.487405927
175	0.4872121347
176	0.4870348842
177	0.4868540025
178	0.4867455844
179	0.4866601056
180	0.4864744737
181	0.4863828525
182	0.4862445689
183	0.4860870545
184	0.4859265853
185	0.4858217334
186	0.4857049372
187	0.4854405995
188	0.4852789555
189	0.4851812686
190	0.4849374066
191	0.4848217072
192	0.4846402656
193	0.484581476
194	0.4844351258
195	0.4842550009
196	0.484179434
197	0.4840970571
198	0.4840323546
199	0.4839562363
200	0.4838894028
201	0.4838276854
202	0.483725953
203	0.4835507513
204	0.4833859453
205	0.4832357088
206	0.483206788
207	0.483068891
208	0.4829816905
209	0.4829629333
210	0.4827744658
211	0.4826400903
212	0.4825292734
213	0.4824517831
214	0.4822587509
215	0.4821154377
216	0.4820909811
217	0.4820098505
218	0.4818488223
219	0.4816981336
220	0.4815256812
221	0.481435627
222	0.4813846039
223	0.4813000966
224	0.4811307539
225	0.4810743418
226	0.480994599
227	0.4808416216
228	0.4807029521
229	0.4805786019
230	0.4805060709
231	0.4803786325
232	0.4802901779
233	0.4802173497
234	0.4801551218
235	0.4800331184
236	0.4799972225
237	0.4797936078
238	0.479721846
239	0.4795857
240	0.479433766
241	0.4793191246
242	0.4792316046
243	0.479062609
244	0.4789827869
245	0.4788372419
246	0.4788083553
247	0.4787396555
248	0.4786817265
249	0.4785838642
250	0.4785111789
251	0.4784143192
252	0.478348071
253	0.478269815
254	0.478089334
255	0.4780008567
256	0.4779156956
257	0.4778813482
258	0.4777536938
259	0.4776839991
260	0.4775512358
261	0.4774911963
262	0.4772695309
263	0.4772350497
264	0.4770640285
265	0.4770003876
266	0.4768499768
267	0.4768254048
268	0.4767087657
269	0.4766604724
270	0.4765804518
271	0.476522244
272	0.4764804368
273	0.4764185118
274	0.476308704
275	0.4762588277
276	0.4762172722
277	0.4761132157
278	0.4760736444
279	0.4759901026
280	0.4758659736
281	0.475761812
282	0.4757182329
283	0.4756599762
284	0.4755341958
285	0.4754497298
286	0.4753258587
287	0.4752208468
288	0.4751419641
289	0.4750310955
290	0.474934789
291	0.4748681032
292	0.4746646286
293	0.4746020812
294	0.4745968234
295	0.4745249456
296	0.4744426874
297	0.4743608597
298	0.4743296473
299	0.4742976878
300	0.4741621218
301	0.4740802054
302	0.4740163983
303	0.4739919134
304	0.4739533982
305	0.4738819154
306	0.4738393822
307	0.4737759082
308	0.4736868139
309	0.4736474258
310	0.4735887198
311	0.4735369718
312	0.4734854224
313	0.4734298556
314	0.4734044544
315	0.4733632147
316	0.4732627211
317	0.4732145261
318	0.4731478038
319	0.473043003
320	0.4730183036
321	0.4729705131
322	0.4728976394
323	0.4728823824
324	0.472790254
325	0.47273515
326	0.4727256861
327	0.4726559347
328	0.4725508042
329	0.4724980634
330	0.4724507512
331	0.4724259522
332	0.4723656646
333	0.4723281804
334	0.4723181459
335	0.4722790714
336	0.4722136239
337	0.4721265233
338	0.4720561048
339	0.4719651811
340	0.471899937
341	0.4718389439
342	0.4717487117
343	0.4716583674
344	0.4716200516
345	0.4714858473
346	0.47135811
347	0.4712084962
348	0.4711428933
349	0.4711020328
350	0.4710218096
