iter	Passed	Remaining
0	13	19614
1	17	13268
2	22	11211
3	26	10032
4	31	9335
5	36	8999
6	40	8632
7	44	8328
8	49	8149
9	54	8154
10	59	8016
11	63	7914
12	68	7843
13	73	7776
14	77	7672
15	82	7618
16	87	7642
17	91	7569
18	96	7503
19	101	7486
20	106	7502
21	110	7445
22	116	7449
23	120	7441
24	125	7395
25	129	7361
26	135	7372
27	139	7340
28	143	7262
29	148	7279
30	153	7281
31	158	7262
32	163	7255
33	168	7252
34	172	7236
35	177	7204
36	181	7194
37	186	7166
38	190	7130
39	194	7094
40	199	7113
41	204	7087
42	208	7081
43	214	7084
44	218	7059
45	222	7034
46	226	7001
47	231	7002
48	235	6980
49	239	6956
50	244	6954
51	249	6950
52	252	6897
53	257	6882
54	261	6874
55	266	6864
56	270	6847
57	274	6835
58	279	6831
59	284	6818
60	288	6802
61	292	6785
62	297	6787
63	301	6767
64	306	6765
65	311	6766
66	315	6750
67	319	6732
68	324	6731
69	329	6739
70	334	6722
71	338	6718
72	342	6704
73	347	6693
74	351	6678
75	356	6674
76	361	6672
77	366	6676
78	370	6656
79	374	6641
80	378	6638
81	383	6628
82	387	6620
83	392	6622
84	397	6614
85	401	6597
86	405	6580
87	410	6592
88	415	6592
89	419	6579
90	424	6570
91	428	6563
92	432	6547
93	437	6541
94	442	6544
95	446	6531
96	450	6517
97	454	6506
98	459	6503
99	463	6492
100	468	6487
101	472	6476
102	477	6472
103	481	6461
104	485	6445
105	490	6450
106	495	6453
107	499	6440
108	504	6437
109	508	6431
110	512	6419
111	517	6413
112	523	6420
113	527	6415
114	532	6411
115	536	6405
116	541	6405
117	546	6406
118	551	6397
119	555	6392
120	560	6392
121	565	6381
122	569	6370
123	574	6374
124	579	6372
125	584	6369
126	589	6375
127	593	6366
128	598	6363
129	603	6361
130	608	6356
131	613	6353
132	617	6345
133	622	6348
134	626	6338
135	630	6326
136	636	6328
137	641	6326
138	645	6319
139	650	6314
140	655	6317
141	659	6307
142	663	6300
143	669	6301
144	673	6297
145	678	6288
146	682	6282
147	686	6270
148	690	6263
149	695	6259
150	699	6251
151	704	6247
152	708	6241
153	713	6233
154	717	6226
155	722	6224
156	727	6219
157	731	6215
158	737	6220
159	741	6210
160	746	6205
161	751	6206
162	756	6206
163	761	6200
164	765	6191
165	770	6190
166	775	6189
167	779	6182
168	785	6183
169	789	6173
170	793	6169
171	798	6165
172	803	6163
173	808	6159
174	812	6152
175	818	6155
176	822	6146
177	826	6139
178	830	6131
